"lang_iso_code","en"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status."
"Delete database:","Delete database:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module."
"Delivery reports:","Delivery reports:"
"Allows to see delivery reports of SMS in SMS history Tab.","Allows to see delivery reports of SMS in SMS history Tab."
"Low credit alert:","Low credit alert:"
" Allows to receive email when your SMS credit is low."," Allows to receive email when your SMS credit is low."
"Email for delivery reports:","Email for delivery reports:"
"Allows to receive email with delivery report of SMS.","Allows to receive email with delivery report of SMS."
"Admin was created.","Admin was created."
"You have to agree with licence terms.","You have to agree with licence terms."
"Account was created.","Account was created."
"you can add another account after ","you can add another account after "
"minutes","minutes"
"can not connect to SMS server","can not connect to SMS server"
"You were succesfully loged in.","You were succesfully loged in."
"error","error"
"Invalid e-mail for delivery report.","Invalid e-mail for delivery report."
"Invalid e-mail","Invalid e-mail"
"Account was changed.","Account was changed."
"Account was changed, but module URL for DR does not answer.","Account was changed, but module URL for DR does not answer."
"you can change account after ","you can change account after "
" seconds"," seconds"
"Invalid name","Invalid name"
"Invalid number","Invalid number"
"Admin was changed.","Admin was changed."
"Admin was deleted.","Admin was deleted."
"no changes were made","no changes were made"
"login error","login error"
"Are you sure to delete","Are you sure to delete"
"DELETE administrator","DELETE administrator"
"EDIT administrator","EDIT administrator"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","in international format, no leading zeros or a “+” sign, e.g., 447971796595"
"(when uninstall)","(when uninstall)"
"(0 = no alert)","(0 = no alert)"
"Fill in username and password.","Fill in username and password."
"Customer SMS - ","Customer SMS - "
"Customer SMS - not active","Customer SMS - not active"
" language version"," language version"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version."
"Add SMS text version","Add SMS text version"
"Select country: ","Select country: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."
"Order status","Order status"
"Sending notifications via SMS is ACTIVE","Sending notifications via SMS is ACTIVE"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail."
" Update of order status "," Update of order status "
"Account","Account"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"Invalid SMS text","Invalid SMS text"
"Text of SMS was saved.","Text of SMS was saved."
"SMS text version was deleted.","SMS text version was deleted."
"Are you sure to delete","Are you sure to delete"
"DELETE language version","DELETE language version"
"SMS text","SMS text"
"unicode","unicode"
"SMS text version for ","SMS text version for "
" was saved"," was saved"
"Preview","Preview"
"Active","Active"
"Save","Save"
"Cancel","Cancel"
"total sms:","total sms:"
"EDIT language version","EDIT language version"
"default","default"
"Edit","Edit"
"Add","Add"
"Order","Order"
"Chars","Chars"
"Unicode was saved.","Unicode was saved."
"Restore unsaved changes to its original state.","Restore unsaved changes to its original state."
"Purchase Credit","Purchase Credit"
"Purchase Credit - not active","Purchase Credit - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
" In case methods for credit purchase are not displayed properly, please click here:"," In case methods for credit purchase are not displayed properly, please click here:"
"Bulk SMS text","Bulk SMS text"
"Add recipients ","Add recipients "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign."
" (e.g. 447971796595)"," (e.g. 447971796595)"
"Enter SMS text","Enter SMS text"
"Add recipients in CSV file ","Add recipients in CSV file "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."
"Your time: ","Your time: "
"Time: ","Time: "
"time zone: ","time zone: "
"time zone settings","time zone settings"
"Text is too long","Text is too long"
"Send SMS","Send SMS"
"Send","Send"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Send SMS or bulk SMS. Enter mobile numbers or upload CSV file."
"Send SMS - not active","Send SMS - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"Fill in SMS text.","Fill in SMS text."
"SMS text is too long (max. 612 characters).","SMS text is too long (max. 612 characters)."
"SMS text is too long (max. 268 unicode characters).","SMS text is too long (max. 268 unicode characters)."
"Wrong time of SMS sending.","Wrong time of SMS sending."
"Recipients found: 0","Recipients found: 0"
"You do not have enough credit to send SMS to all ","You do not have enough credit to send SMS to all "
" recipients."," recipients."
"SMS was sent.","SMS was sent."
"SMS was saved.","SMS was saved."
"wrong number or unavailable","wrong number or unavailable"
"unauthorized senderID in confirmation sms","unauthorized senderID in confirmation sms"
"low credit for sending sms","low credit for sending sms"
"unicode is not supported","unicode is not supported"
"can not connect to SMS server","can not connect to SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)"
"SMS was sent (simulation).","SMS was sent (simulation)."
"error","error"
"login error","login error"
" Send later "," Send later "
"Characters: ","Characters: "
"1hr","1hr"
"Date: ","Date: "
"SMS Answers","SMS Answers"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone."
"Show","Show"
"Search results ","Search results "
" of "," of "
"SMS center","SMS center"
"Date","Date"
"From number","From number"
"new","new"
"Previous","Previous"
"Next","Next"
" Page: "," Page: "
"SMS Answers - not active","SMS Answers - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"year","year"
"month","month"
"SMS","SMS"
"Text:","Text:"
"Total SMS answers: 0","Total SMS answers: 0"
"SENT to recipient","SENT to recipient"
"ERROR","ERROR"
"DELIVERED to recipient","DELIVERED to recipient"
"RECIPIENT UNAVAILABLE","RECIPIENT UNAVAILABLE"
"SMS History","SMS History"
"History of sent SMS from SMS module.","History of sent SMS from SMS module."
" admin sms"," admin sms"
" customer sms"," customer sms"
" marketing sms"," marketing sms"
" simple sms"," simple sms"
"Show","Show"
"Search results ","Search results "
" of "," of "
"Type","Type"
"Date","Date"
"SMS subject","SMS subject"
"Number","Number"
"yes","yes"
"no","no"
"system number","system number"
"Credit balance:","Credit balance:"
"Display customer detail","Display customer detail"
"Text:","Text:"
"Total SMS:","Total SMS:"
"SMS History - not active","SMS History - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"SMS price in credits:","SMS price in credits:"
"year","year"
"month","month"
"Status","Status"
"Recipient","Recipient"
"Unicode:","Unicode:"
"senderID:","senderID:"
"Previous","Previous"
"Next","Next"
" Page: "," Page: "
"Total SMS: 0","Total SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - bulk SMS text"
"Enter SMS text","Enter SMS text"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70)."
" Send later "," Send later "
"Your time: ","Your time: "
"Total customers:","Total customers:"
"Total SMS:","Total SMS:"
"SMS Marketing - bulk SMS filter","SMS Marketing - bulk SMS filter"
"All customers","All customers"
"company customers","company customers"
"private customers","private customers"
"All countries","All countries"
"Last name:","Last name:"
"First name:","First name:"
"Last name","Last name"
"First name","First name"
"Groups:","Groups:"
"All","All"
"Gender:","Gender:"
"Male","Male"
"Female","Female"
"Newsletter:","Newsletter:"
"Yes","Yes"
"No","No"
"Apply filter","Apply filter"
"Date of birth from: ","Date of birth from: "
"to: ","to: "
"Date of registration from: ","Date of registration from: "
"Customers found: ","Customers found: "
"results","results"
"Action","Action"
"Mobile number","Mobile number"
"Customer ID","Customer ID"
"REMOVE customer from this list","REMOVE customer from this list"
"Next","Next"
"Previous","Previous"
" Page: "," Page: "
"SMS Marketing - customers found: ","SMS Marketing - customers found: "
"Write text of message and use advanced filter to target your marketing campaign.","Write text of message and use advanced filter to target your marketing campaign."
"Marketing SMS","Marketing SMS"
"SMS Marketing - not active","SMS Marketing - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"Fill in SMS text","Fill in SMS text"
"SMS text is too long (max. 612 characters).","SMS text is too long (max. 612 characters)."
"SMS text is too long (max. 268 unicode characters).","SMS text is too long (max. 268 unicode characters)."
"Customers found: 0","Customers found: 0"
"Wrong time of SMS sending.","Wrong time of SMS sending."
"You do not have enough credit to send SMS to all ","You do not have enough credit to send SMS to all "
" customers."," customers."
"SMS was sent.","SMS was sent."
"SMS was saved.","SMS was saved."
"wrong number or unavailable","wrong number or unavailable"
"unauthorized senderID in confirmation sms","unauthorized senderID in confirmation sms"
"low credit for sending sms","low credit for sending sms"
"unicode is not supported","unicode is not supported"
"can not connect to SMS server","can not connect to SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)"
"SMS was sent (simulation).","SMS was sent (simulation)."
"error","error"
"login error","login error"
"Date:","Date:"
"Time: ","Time: "
"1hr","1hr"
"time zone: ","time zone: "
"time zone settings","time zone settings"
"Send","Send"
"Characters: ","Characters: "
"Text is too long","Text is too long"
"Type:","Type:"
"Country:","Country:"
"City:","City:"
"Advert:","Advert:"
"Store:","Store:"
"All stores","All stores"
"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - send SMS from your Prestashop!"
"Admin SMS","Admin SMS"
"Customer SMS","Customer SMS"
"SMS Settings","SMS Settings"
"SMS History","SMS History"
"Purchase Credit","Purchase Credit"
"Marketing SMS","Marketing SMS"
"SMS Answers","SMS Answers"
"Send SMS","Send SMS"
"About","About"
"wrong number or unavailable","wrong number or unavailable"
"unauthorized senderID in confirmation sms","unauthorized senderID in confirmation sms"
"low credit for sending sms","low credit for sending sms"
"unicode is not supported","unicode is not supported"
"login error","login error"
"can not connect to SMS server","can not connect to SMS server"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)"
"unknown mobile number","unknown mobile number"
"not connected to SMS server","not connected to SMS server"
"New orders","New orders"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}."
"Possible variables:","Possible variables:"
"Successful customer create account","Successful customer create account"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!"
"Product returned","Product returned"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","We have received your request. Order {order_id}. Have a nice day, {shop_name}."
"Called when a quantity of one product change in an order","Called when a quantity of one product change in an order"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}."
"Payment confirmation","Payment confirmation"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}."
"Update of tracking number in order","Update of tracking number in order"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}."
"Called when a product is deleted","Called when a product is deleted"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Quantity is updated only when the customer effectively place his order"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}."
"Product out of stock","Product out of stock"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}."
"Called when admin or customer cancel a product in an order","Called when admin or customer cancel a product in an order"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}."
"Status of order {order_id} has changed to ","Status of order {order_id} has changed to "
". Info from {shop_name}.",". Info from {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Dear Customer, status of your order {order_id} has changed to "
". Have a nice day, {shop_name}.",". Have a nice day, {shop_name}."
"Bank wire","Bank wire"
"Company Name","Company Name"
"Country","Country"
"City","City"
"qty","qty"
"qty reinjected","qty reinjected"
"qty returned","qty returned"
"name","name"
"not found","not found"
"SMS Settings - Select Own number sender ID for ","SMS Settings - Select Own number sender ID for "
"Own number sender ID settings","Own number sender ID settings"
"own number sender ID","own number sender ID"
"Existing Own number:","Existing Own number:"
"New Own number sender ID:","New Own number sender ID:"
"in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595","in international format, no leading <br />zeros or a “+” sign, e.g., 447971796595"
"SMS code:","SMS code:"
"CONFIRM","CONFIRM"
"Required field","Required field"
"SMS Settings - Select Text sender ID for ","SMS Settings - Select Text sender ID for "
"Text sender ID settings","Text sender ID settings"
"Existing Text sender ID:","Existing Text sender ID:"
"New Text sender ID:","New Text sender ID:"
"max. 11 characters","max. 11 characters"
"SMS Settings","SMS Settings"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type."
"Customer SMS settings","Customer SMS settings"
"SENDER TYPE","SENDER TYPE"
"NETWORK","NETWORK"
"SMS PRICE<br />IN CREDITS","SMS PRICE<br />IN CREDITS"
"SMS PRICE IN EUR (excl. VAT)","SMS PRICE IN EUR (excl. VAT)"
"payment","payment"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)"
"TEXT SENDER ID","TEXT SENDER ID"
"Text sender ID","Text sender ID"
"SYSTEM NUMBER","SYSTEM NUMBER"
"OWN NUMBER SENDER ID","OWN NUMBER SENDER ID"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE SUPPORTED"
"UNICODE NOT SUPPORTED","UNICODE NOT SUPPORTED"
"SAVE SMS SETTINGS","SAVE SMS SETTINGS"
"Are you sure to delete","Are you sure to delete"
"Select country: ","Select country: "
"ADD/CHANGE SELECTED COUNTRY","ADD/CHANGE SELECTED COUNTRY"
"SMS settings - not active","SMS settings - not active"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register."
"error","error"
"can not connect to SMS server","can not connect to SMS server"
" was deleted."," was deleted."
"choose sender type","choose sender type"
" was saved."," was saved."
"fill in own number sender ID","fill in own number sender ID"
"own number sender ID must be number","own number sender ID must be number"
"correctly confirm sms code","correctly confirm sms code"
"Own number sender ID for ","Own number sender ID for "
" was saved."," was saved."
"error - ","error - "
"login error","login error"
"Now retype SMS code.","Now retype SMS code."
"Now retype SMS code. SMS will be send in next 60 seconds.","Now retype SMS code. SMS will be send in next 60 seconds."
"error - wrong number or unavailable","error - wrong number or unavailable"
"error - unauthorized senderID in confirmation sms","error - unauthorized senderID in confirmation sms"
"error - low credit for sending validation SMS","error - low credit for sending validation SMS"
"fill in text sender ID","fill in text sender ID"
"fill in text sender ID, 3-11 characters","fill in text sender ID, 3-11 characters"
"possible characters: ","possible characters: "
"text sender ID can't be number","text sender ID can't be number"
"Text sender ID for ","Text sender ID for "
"Admin SMS settings","Admin SMS settings"
"VALIDATE","VALIDATE"
"SMS validation","SMS validation"
"Confirmation code: ","Confirmation code: "
"Update pricelist","Update pricelist"
"e.g.:","e.g.:"
"Pricelist was successfully updated.","Pricelist was successfully updated."
"edit","edit"
"delete","delete"
"Your online stores","Your online stores"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - setting SMS opt-out option from the cart and SMS charging"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart."
"For sending SMS prefer phone nr. from:","For sending SMS prefer phone nr. from:"
"invoice address","invoice address"
"delivery address","delivery address"
"Price of SMS","Price of SMS"
"Text displayed in the cart","Text displayed in the cart"
"Activate displaying SMS opt-out feature in the cart","Activate displaying SMS opt-out feature in the cart"
"SMS opt-out is ACTIVE","SMS opt-out is ACTIVE"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“"
"Setting of the SMS opt-out feature was successfully changed","Setting of the SMS opt-out feature was successfully changed"
"Price of SMS messages has changed in the following countries:","Price of SMS messages has changed in the following countries:"
"New version available for download:","New version available for download:"
"Manual:","Manual:"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Supported PrestaShop versions:"
"1.5.x","1.5.x"
"Contact form","Contact form"
"Remove duplicate numbers","Remove duplicate numbers"
"Registration type:","Registration type:"
"Personal","Personal"
"Business","Business"
"Address","Address"
"Billing information","Billing information"
"Contact person","Contact person"
"Enter the name of the company.","Enter the name of the company."
"Invalid VAT","Invalid VAT"
"Statistics","Statistics"
"Statistics - not active","Statistics - not active"
"day","day"
"Date from:","Date from:"
"to:","to:"
"Mage SMS module 2013-%s, version ","Mage SMS module 2013-%s, version "
"Supported Magento versions:","Supported Magento versions:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/index.html"
"Removed Customers: ","Removed Customers: "
"More...","More..."
"Saved Filters","Saved Filters"
"Save filter","Save filter"
"Reset filter","Reset filter"
"Filter Name","Filter Name"
"Date","Date"
"Filter has been applied.","Filter has been applied."
"Filter has been saved.","Filter has been saved."
"Filter has been reset.","Filter has been reset."
"Are you sure you want to reset the filter?","Are you sure you want to reset the filter?"
"Are you sure you want to remove the filter?","Are you sure you want to remove the filter?"
"No filter has been found.","No filter has been found."
"Processing...","Processing..."
"Saved Templates","Saved Templates"
"Save template","Save template"
"Template Name","Template Name"
